product_id,review_count,avg_rating,rating_std,score_raw_avg,score_count_weighted,score_trust_weighted
B013SLWJJW,75,5.0,0.0,5.0,2.5486074619022596,4.92372726017538
B01B5BWTNS,494,4.846153846153846,0.5258195425176716,4.846153846153846,2.7369436921460037,4.8575119335628205
B014EB2ADA,65,4.923076923076923,0.40726574201052623,4.923076923076923,2.502930595416145,4.857015568897135
B0148B7EJ6,118,4.898305084745763,0.33049640230982297,4.898305084745763,2.524441782377513,4.856692796084951
B00RLSCLJM,2674,4.835078534031414,0.5679656444310407,4.835078534031414,4.115406440093212,4.848119914902834
B0006HB4XE,254,4.858267716535433,0.5440938283535964,4.858267716535433,2.5906080742797326,4.842189561662617
B00JKV6EGE,88,4.863636363636363,0.5291897554593973,4.863636363636363,2.487406248507142,4.827081886580182
B00G8Q7JZ4,562,4.797153024911032,0.7225369308695124,4.797153024911032,2.7521239174706356,4.8261563508678575
B0087UIAMK,122,4.844262295081967,0.5145886876035706,4.844262295081967,2.4991353169714774,4.820421893000653
B011PLYVCA,132,4.856060606060606,0.46450459134742245,4.856060606060606,2.511601498431504,4.819024410959041
B00STV1K9W,33,4.96969696969697,0.1740776559556978,4.96969696969697,2.505740537269702,4.813848018677135
B00D8FJF6O,352,4.815340909090909,0.5773432597469546,4.815340909090909,2.629712580017198,4.813206832244937
B00S7J0X12,66,4.833333333333333,0.7143223433831605,4.833333333333333,2.4579392187773688,4.812432276725745
B00STV2SI4,46,4.913043478260869,0.35440635538079673,4.913043478260869,2.4855662683634536,4.8068088055738105
B018RMQV2S,75,4.8533333333333335,0.5621708246040842,4.8533333333333335,2.4738483096864603,4.805332760429981
B002Z3N1HE,981,4.770642201834862,0.7124222087235166,4.770642201834862,2.9995130817106737,4.801137116039602
B00V903YRQ,85,4.811764705882353,0.6812823630942645,4.811764705882353,2.4589811752341504,4.796210281776514
B017Z6YBZ6,29,4.9655172413793105,0.18569533817705183,4.9655172413793105,2.501023791835034,4.795104912870285
B011P3DFSE,53,4.867924528301887,0.44018072551801,4.867924528301887,2.4672166093258907,4.792765492025148
B00YWSNUO4,85,4.823529411764706,0.5809776364074629,4.823529411764706,2.4649933541467033,4.791483085350947
B00M21O9L6,24,5.0,0.0,5.0,2.515107724645297,4.7895924418631175
B00JUH7YOE,39,4.923076923076923,0.2699527623995085,4.923076923076923,2.486115041028336,4.789364046323979
B011PLBU1K,46,4.891304347826087,0.314696387689978,4.891304347826087,2.474568187529987,4.781589501698445
B0091V6UQM,44,4.886363636363637,0.3210382206405505,4.886363636363637,2.4707847656809823,4.781156731177981
B016DCVA4S,26,4.961538461538462,0.19611613513818402,4.961538461538462,2.497064351833138,4.780811114707317
B008FXOMFS,27,4.962962962962963,0.1924500897298752,4.962962962962963,2.4984332729997467,4.780756900212314
B011PI8AR0,37,4.918918918918919,0.3634998378708472,4.918918918918919,2.482722870006107,4.780444827978688
B017OA4HKC,27,4.962962962962963,0.19245008972987526,4.962962962962963,2.4984332729997467,4.778085730024641
B00WL6S17U,73,4.8493150684931505,0.4304788314808527,4.8493150684931505,2.4705259899653753,4.775235207289935
B001XOQTSE,388,4.770618556701031,0.5853178900560077,4.770618556701031,2.627851235975752,4.774688145302246
B00AC88COG,50,4.86,0.40456577881446565,4.86,2.4612848134524437,4.7706720081981215
