product_id,review_count,avg_rating,rating_std,score_trust_weighted,score_raw_avg,score_count_weighted
0764443682,1,5.0,0.0,1.0,5.0,5.0
1291691480,1,5.0,0.0,1.0,5.0,5.0
1940280001,1,5.0,0.0,1.0,5.0,5.0
1940735033,7,4.857142857142857,0.37796447300922725,0.9785714285714285,4.857142857142857,4.857142857142857
1940967805,1,5.0,0.0,1.0,5.0,5.0
1942705034,1,5.0,0.0,0.9500000000000001,5.0,5.0
3293015344,3,3.0,2.0,0.65,3.0,3.0
5378828716,1,5.0,0.0,0.9500000000000001,5.0,5.0
6041002984,1,5.0,0.0,1.0,5.0,5.0
630456984X,1,5.0,0.0,1.0,5.0,5.0
7106116521,17,3.823529411764706,1.4677914581799019,0.7535294117647059,3.823529411764706,3.823529411764706
8037200124,1,5.0,0.0,1.0,5.0,5.0
8037200221,1,5.0,0.0,1.0,5.0,5.0
8279996567,1,1.0,0.0,0.25,1.0,1.0
9239281533,1,5.0,0.0,1.0,5.0,5.0
9239282785,1,5.0,0.0,1.0,5.0,5.0
9269808971,1,5.0,0.0,1.0,5.0,5.0
9654263246,3,4.0,1.7320508075688772,0.8166666666666668,4.0,4.0
B00004T3SN,4,5.0,0.0,0.9875,5.0,5.0
B00005OTJ8,4,5.0,0.0,1.0,5.0,5.0
B00006MVYA,2,5.0,0.0,1.0,5.0,5.0
B000072WTB,3,2.6666666666666665,1.5275252316519468,0.5833333333333334,2.6666666666666665,2.6666666666666665
B000072WZM,1,4.0,0.0,0.8500000000000001,4.0,4.0
B000072X6P,1,5.0,0.0,1.0,5.0,5.0
B000072XQQ,1,5.0,0.0,1.0,5.0,5.0
B000072XRF,1,5.0,0.0,1.0,5.0,5.0
B000072XXH,1,5.0,0.0,1.0,5.0,5.0
B000072YTO,1,5.0,0.0,1.0,5.0,5.0
B000072ZF7,1,5.0,0.0,1.0,5.0,5.0
B000072ZPG,1,4.0,0.0,0.8,4.0,4.0
B000072ZTR,1,4.0,0.0,0.8,4.0,4.0
B0000730S0,1,5.0,0.0,1.0,5.0,5.0
B0000730SA,1,5.0,0.0,1.0,5.0,5.0
B000073147,1,3.0,0.0,0.6900000000000001,3.0,3.0
B0000731RO,1,5.0,0.0,1.0,5.0,5.0
B000073209,3,4.333333333333333,1.1547005383792517,0.9,4.333333333333333,4.333333333333333
B000073249,2,3.5,2.1213203435596424,0.775,3.5,3.5
B00007325C,2,5.0,0.0,1.0,5.0,5.0
B0000732EF,1,5.0,0.0,1.0,5.0,5.0
B0000732EP,1,4.0,0.0,0.9000000000000001,4.0,4.0
B0000732QL,4,3.75,1.2583057392117916,0.8075000000000001,3.75,3.75
B0000732QU,6,3.8333333333333335,1.1690451944500122,0.8066666666666666,3.8333333333333335,3.8333333333333335
B00007337N,1,4.0,0.0,0.8700000000000001,4.0,4.0
B0000733OT,1,5.0,0.0,1.0,5.0,5.0
B0000733PM,1,1.0,0.0,0.22,1.0,1.0
B0000733S8,1,2.0,0.0,0.45,2.0,2.0
